 KLGA    NBM V5.0 NBE GUIDANCE    7/10/2026  1300 UTC
   SAT 11 |SUN 12 |MON 13 |TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191       
 TXN    73| 84  69| 86  69| 87  72| 94  79| 99  78| 93  76| 91  74  70 85
 XND     2|  3   2|  2   2|  2   2|  3   3|  4   4|  6   5|  7   5
 TMP    74| 78  72| 78  73| 79  75| 88  81| 91  79| 86  77| 83  76
 TSD     2|  2   2|  2   1|  2   2|  4   3|  5   4|  6   5|  6   5
 DPT    64| 62  59| 59  62| 60  62| 65  66| 63  61| 59  59| 60  61
 DSD     5|  5   5|  3   3|  3   3|  4   4|  6   7|  8   8|  9  10
 WBG    70| 72  68| 71  69| 72  70| 79  75| 80  72| 75  70| 75  70
 SKY    78| 35   0| 17  12| 15  11|  9  20| 27  32| 37  29| 39  30
 SSD    24| 41   0| 26  10| 21  13|  8  19| 21  20| 16  11| 10  15
 WDR     5| 14   2| 16  23| 19  25| 25  27| 31  30| 30  34| 30  35
 WSP     9|  5   8|  9   0| 12   9| 13  11| 14   8| 10   7| 10   9
 WSD     2|  3   2|  2   2|  2   2|  2   2|  3   3|  3   3|  3   4
 GST    10|  5   8| 10   3| 16  11| 19  13| 20   8| 12   8| 12   9
 GSD     3|  3   3|  3   2|  3   3|  4   3|  6   4|  4   4|  5   5
 P12    28| 37   4|  0   0|  0   0|  0   1|  7  10|  5  11| 22  26  37 21
 Q12     0|  3   0|  0   0|  0   0|  0   0|  0   0|  0   0|  2   0
 Q24      |      3|      0|      0|      0|      0|      0|      2 103
 DUR     1|  2   0|  0   0|  0   0|  0   0|  0   0|  0   0|  1   0
 T12    14| 14   9|  4   2|  9   9| 12  11| 20  11| 18  19| 18  15
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA     5|  5   0|  0   0|  0   0|  1   1|  7   4|  6   9| 26  23
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV   118|104  83| 90  89|108 117|124 122|124 109|114 111|111 108
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     2| 27   7| 73   2| 58   1| 66   1| 66   2| 67   1| 61   2
                                                                          
