 KLGA    NBM V5.0 NBE GUIDANCE    7/11/2026  1900 UTC
   SUN 12 |MON 13 |TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18 |SUN 19  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185       
 TXN    69| 85  69| 86  72| 94  79| 98  78| 93  77| 93  75| 90  74  70 85
 XND     2|  2   2|  2   2|  3   3|  3   4|  5   4|  6   5|  6   5
 TMP    73| 76  73| 78  75| 87  81| 90  79| 86  78| 85  77| 82  76
 TSD     1|  2   1|  2   2|  3   3|  4   3|  4   4|  5   5|  6   5
 DPT    63| 58  62| 61  63| 66  68| 60  58| 56  58| 61  61| 63  64
 DSD     3|  3   3|  3   4|  3   3|  7   6|  7   8|  8  10|  9   9
 WBG    69| 70  70| 72  71| 78  76| 78  71| 75  71| 75  71| 74  72
 SKY    11|  6  12| 17   2| 16   8| 32  21| 33  29| 49  27| 36  37
 SSD    17|  8  28| 25   6| 29  10| 26  21| 14  13| 30  25| 10   6
 WDR     5| 18  23| 19  25| 24  26| 31  30| 28  31| 31  35| 17  23
 WSP     6|  9   0| 12   9| 14  11| 14   8| 11   6| 11   8| 11  10
 WSD     2|  1   2|  2   2|  2   1|  3   2|  3   3|  3   3|  3   4
 GST     7| 10   3| 16  10| 21  15| 21   8| 14   6| 13   8| 12  11
 GSD     2|  2   2|  3   3|  4   3|  5   3|  4   3|  5   4|  6   5
 P12     3|  1   1|  0   0|  0   0|  6   8|  2   8| 11  19| 30  24  21 16
 Q12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  3   0
 Q24      |      0|      0|      0|      0|      0|      0|      3 103
 DUR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  1   0
 T12    14|  9   4|  5   5|  8   8| 20  17| 12  11| 16   9|  8  13
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA     0|  0   0|  0   0|  0   0| 14   0|  3   8| 12  14| 27  16
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV   104| 94  98|105 117|125 121|121 105|109 106|115 108|113 112
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     3| 59   5| 59   2| 66   1| 66   1| 54   2| 68   2| 67   0
                                                                          
