 KLGA    NBM V5.0 NBE GUIDANCE    7/12/2026  1900 UTC
   MON 13 |TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18 |SUN 19 |MON 20  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185       
 TXN    69| 86  72| 95  79|100  78| 93  75| 92  74| 89  73| 88  74  70 85
 XND     2|  2   2|  2   2|  2   3|  3   4|  6   5|  7   5|  7   6
 TMP    73| 78  75| 89  82| 91  79| 86  77| 84  76| 80  75| 80  76
 TSD     2|  2   2|  2   2|  4   3|  3   4|  6   5|  6   5|  6   6
 DPT    61| 59  60| 64  66| 60  58| 54  55| 56  60| 63  64| 64  65
 DSD     2|  2   2|  3   4|  7   5|  6   5|  7   8|  8   7|  8   8
 WBG    69| 71  70| 79  75| 78  71| 74  69| 73  70| 74  70| 74  72
 SKY    24|  3   8| 10   5| 54  36| 35  13| 37  35| 43  47| 49  42
 SSD    29|  6  21| 14   8| 24  22| 28  13| 21  24| 25  22| 21  24
 WDR    23| 19  24| 25  26| 30  29| 31  32| 31  34| 21  26| 19  17
 WSP     3| 11   9| 14  11| 14   6| 13   7| 11   7| 11   9| 11   9
 WSD     3|  1   2|  2   1|  3   3|  3   3|  3   3|  3   3|  3   3
 GST     4| 16  11| 22  15| 19   7| 16   7| 12   8| 13  10| 12  10
 GSD     2|  3   3|  3   3|  6   3|  5   4|  5   4|  6   5|  6   5
 P12     0|  0   2|  0   0|  9  19|  0   2|  5  20| 33  27| 28  20  16 21
 Q12     0|  0   0|  0   0|  0   0|  0   0|  0   0| 26   3|  2   0
 Q24      |      0|      0|      0|      0|      0|     29|      2 103
 DUR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  4   1|  0   0
 T12     2|  4   4|  7   8| 14   8|  8   7| 21  19| 23  17| 27  22
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA     0|  0   0|  0   0| 19   0|  2   1| 18  15| 23  23| 16  17
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV   100|104 114|126 120|126 104|105  98|107 106|113 110|115 113
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     4| 61   7| 63   2| 64   0| 42   2| 69   2| 68   1| 46   0
                                                                          
