 KLGA    NBM V5.0 NBE GUIDANCE    7/13/2026  1300 UTC
   TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18 |SUN 19 |MON 20 |TUE 21  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191       
 TXN    72| 95  80|100  78| 95  77| 92  74| 90  74| 87  72| 87  73  70 85
 XND     2|  2   2|  2   3|  3   3|  5   5|  7   4|  6   4|  6   3
 TMP    75| 90  83| 91  80| 88  78| 84  76| 80  76| 79  74| 79  75
 TSD     2|  2   2|  3   2|  4   3|  5   5|  6   4|  5   4|  5   3
 DPT    59| 65  67| 61  58| 55  56| 57  61| 66  66| 65  64| 64  65
 DSD     2|  2   2|  7   4|  5   5|  7   8|  8   7|  8   8|  7   6
 WBG    69| 79  76| 79  72| 75  70| 74  70| 74  72| 74  70| 73  71
 SKY     4| 20   0| 42  43| 28  19| 25  36| 70  65| 49  22| 39  38
 SSD     5| 32   0| 13  24| 19  20| 20  17| 14  19| 19  16| 25  19
 WDR    25| 24  25| 32  30| 30  32| 30   1| 20  31|  9   2| 16  21
 WSP    10| 15  10| 14   5| 13   8| 11   6| 10  10| 10   8| 11   8
 WSD     1|  2   1|  3   3|  3   3|  3   4|  3   3|  3   3|  3   3
 GST    13| 23  14| 20   6| 17   9| 12   7| 11  11| 10   9| 13   9
 GSD     2|  3   3|  5   3|  5   4|  5   5|  6   5|  5   4|  6   5
 P12     1|  2   0| 15  13|  1   2|  7  25| 53  54| 42  32| 32  40  16 47
 Q12     0|  0   0|  0   0|  0   0|  1   0| 37  42| 49   6| 13  19
 Q24      |      0|      0|      0|      1|     79|     55|     32 103
 DUR     0|  0   0|  0   0|  0   0|  0   0|  5   6|  6   2|  3   4
 T12     3| 10  10| 21  15| 10  17| 24  22| 30  26| 17   9| 19  17
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA     0|  0   0| 45   0|  1   2| 10  26| 55  44| 32  18| 28  25
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV   119|122 121|128 106|118 107|113 123|129 120|111 105|109 110
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     3| 63   6| 70   1| 62   1| 70   1| 41   0| 26   1| 68   1
                                                                          
