 KORD    NBM V5.0 NBE GUIDANCE    7/10/2026  1900 UTC
   SAT 11 |SUN 12 |MON 13 |TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    17| 29  41| 53  65| 77  89|101 113|125 137|149 161|173 185       
 TXN    66| 83  68| 85  68| 89  71| 92  74| 91  72| 88  70| 86  68  65 84
 XND     2|  2   2|  3   3|  3   3|  4   3|  4   4|  6   5|  6   5
 TMP    70| 80  71| 82  71| 86  74| 90  76| 86  74| 83  73| 81  71
 TSD     1|  2   2|  3   3|  4   3|  4   2|  6   4|  6   4|  6   4
 DPT    62| 58  63| 54  61| 55  63| 62  66| 62  63| 60  62| 61  63
 DSD     4|  3   3|  4   4|  6   3|  5   3|  7   7|  9   7| 10   7
 WBG    67| 72  68| 72  67| 74  69| 78  73| 76  70| 73  68| 73  68
 SKY    69| 42  14| 11   5|  4   1| 10   7| 21  24| 45  41| 43  32
 SSD    27| 37  25| 12  11|  5   2|  9   7| 12  18| 21  27| 17  27
 WDR     3|  4   5|  6   1|  8  28| 25  27|  0  34|  4   5|  7  18
 WSP     5| 10   3|  9   2|  8   2|  9   5| 11   6| 11   6| 11   8
 WSD     2|  2   3|  2   2|  2   2|  3   2|  3   3|  3   3|  3   3
 GST     7| 12   3|  9   3|  8   3| 10   6| 13   6| 12   7| 12   9
 GSD     2|  3   3|  3   2|  3   2|  5   3|  5   4|  5   4|  6   5
 P12     1|  2   2|  3   2|  0   0|  1   0|  4   4| 19  22| 28  31  21 21
 Q12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  4   1
 Q24      |      0|      0|      0|      0|      0|      0|      5  84
 DUR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  1   0
 T12     8|  6   3|  2   3|  6   9|  8  10| 14  19| 26  21| 25  21
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA     0|  0   0|  0   0|  0   0|  0   0|  4   7| 24  27| 36  30
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV   101|104 101|104 113|124 120|123 121|125 123|132 130|130 122
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     2| 61   4| 68   2| 66   2| 66   2| 65   2| 55   1| 48   1
                                                                          
