 KORD    NBM V5.0 NBE GUIDANCE    7/11/2026  1300 UTC
   SUN 12 |MON 13 |TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18 |SUN 19  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191       
 TXN    67| 86  68| 92  73| 95  76| 94  73| 91  73| 90  72| 88  71  65 84
 XND     2|  2   2|  3   3|  4   3|  4   3|  4   4|  6   5|  7   7
 TMP    71| 83  72| 89  76| 93  78| 89  76| 87  75| 85  75| 84  74
 TSD     1|  2   2|  4   3|  4   2|  5   3|  5   4|  7   5|  8   6
 DPT    63| 52  58| 61  66| 63  67| 62  65| 62  65| 64  65| 65  64
 DSD     3|  5   4|  6   4|  6   3|  8   6|  9   6|  7   5|  7   6
 WBG    68| 72  67| 77  72| 80  73| 78  72| 77  71| 76  71| 76  70
 SKY    11|  8   2|  6   6|  6   6| 15  11| 40  35| 51  26| 34  31
 SSD    17|  9   4|  7  16|  7  20| 13  10| 26  32| 23  16| 14  14
 WDR     1|  7  27|  6  27| 18  28|  1  25| 25  24| 26  22| 26  26
 WSP     4|  7   3|  7   4|  8   5| 10   4| 10   6| 12   8| 15   9
 WSD     2|  2   2|  2   2|  2   2|  2   2|  3   3|  3   3|  4   3
 GST     4|  8   3|  7   4|  8   6| 11   5| 10   7| 14   9| 19  10
 GSD     2|  3   2|  3   2|  4   3|  5   3|  5   4|  7   5|  8   5
 P12     0|  0   0|  1   0|  1   0|  5   5| 15  15| 24  19| 23  27  16 16
 Q12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  2   0
 Q24      |      0|      0|      0|      0|      0|      0|      2  84
 DUR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  1   0
 T12     3|  2   5| 12  13|  9  11| 10  12| 15  17| 28  25| 25  25
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA    15|  0   0|  0   0|  0   0|  3   7| 22  18| 20  10| 22  14
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV    97|114 123|126 120|126 121|125 122|131 129|134 132|132 125
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     2| 66   4| 71   2| 64   1| 64   1| 63   1| 48   1| 47   1
                                                                          
