 KORD    NBM V5.0 NBE GUIDANCE    7/12/2026  1300 UTC
   MON 13 |TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18 |SUN 19 |MON 20  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191       
 TXN    68| 93  74| 96  76| 95  74| 92  73| 90  72| 88  70| 87  69  65 84
 XND     3|  2   3|  3   3|  4   4|  5   5|  7   6|  8   6|  7   5
 TMP    72| 91  76| 94  78| 90  76| 88  76| 86  75| 83  73| 83  72
 TSD     3|  3   2|  4   2|  5   3|  7   4|  8   6|  8   6|  7   5
 DPT    56| 62  66| 62  67| 62  63| 60  64| 62  64| 61  62| 60  61
 DSD     3|  4   3|  5   3|  5   5|  7   6|  8   7|  8   7| 10   7
 WBG    66| 79  72| 81  73| 78  71| 76  71| 76  70| 74  68| 74  67
 SKY     4|  7  19| 14   2| 15  22| 37  28| 46  46| 37  24| 35  51
 SSD     6|  8  29| 16   3| 11  18| 14  20| 22  21| 24  15| 19  23
 WDR    28| 31  26| 12  28|  3  34| 34  21| 25  22| 28  23| 24  28
 WSP     3|  7   4|  7   5| 10   4| 10   7| 15   9| 14   9| 14   8
 WSD     2|  2   2|  2   1|  3   2|  3   3|  3   3|  4   3|  4   3
 GST     3|  7   4|  7   6| 10   4| 11   8| 19  11| 19  11| 19   9
 GSD     2|  3   2|  3   2|  4   3|  6   4|  7   6|  9   6|  9   5
 P12     1|  1   1|  0   0|  3   5| 10  10| 12  19| 18  16| 18  38  11 26
 Q12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  2  16
 Q24      |      0|      0|      0|      0|      0|      0|     18  86
 DUR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  1   4
 T12     5|  5   8|  6   8| 10  25| 16  11| 11  16| 27  29| 28  32
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA     0|  0   0|  0   0|  4   9| 15   7| 15   9| 10   7| 19  32
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV   122|122 121|125 121|126 121|126 123|129 123|123 120|126 118
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     2| 65   3| 70   2| 64   1| 58   2| 60   1| 27   1| 57   1
                                                                          
