 KORD    NBM V5.0 NBE GUIDANCE    7/13/2026  1300 UTC
   TUE 14 |WED 15 |THU 16 |FRI 17 |SAT 18 |SUN 19 |MON 20 |TUE 21  CLIMO 
 UTC    12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12| 00  12       
 FHR    23| 35  47| 59  71| 83  95|107 119|131 143|155 167|179 191       
 TXN    75| 97  76| 96  75| 93  75| 92  75| 90  70| 84  67| 83  67  65 84
 XND     2|  3   3|  4   3|  4   4|  5   4|  5   5|  6   5|  5   4
 TMP    77| 95  78| 92  78| 90  77| 88  77| 83  72| 80  70| 79  69
 TSD     2|  4   3|  4   3|  5   4|  6   4|  7   5|  6   5|  5   4
 DPT    68| 62  69| 64  67| 62  66| 65  68| 65  63| 59  59| 57  58
 DSD     2|  7   2|  4   5|  6   5|  6   4|  7   7| 10   7|  9   6
 WBG    73| 81  75| 81  74| 78  73| 78  73| 76  68| 72  65| 70  65
 SKY     7| 33  18| 22  16| 23  15| 43  33| 40  23| 26  28| 43  28
 SSD    19| 32  33| 11  17| 18  19| 18  28| 11  22| 15  25| 19  17
 WDR    30| 30  30|  3  29|  6  16| 24  25|  1   2|  5  27| 33  35
 WSP     4|  6   4|  8   4| 10   6| 13   8| 13   9| 12   7| 12   7
 WSD     2|  2   1|  2   2|  3   3|  3   2|  3   3|  3   3|  3   4
 GST     5|  6   4|  9   4| 11   6| 16   9| 17  10| 14   8| 15   8
 GSD     2|  3   1|  4   3|  6   3|  6   3|  6   4|  7   5|  6   6
 P12     0|  0   0|  1   1|  6   5| 27  18| 36  31| 22  18| 19  16  11 32
 Q12     0|  0   0|  0   0|  0   0|  0   0|  2   0|  3   0|  0   0
 Q24      |      0|      0|      0|      0|      2|      3|      0  86
 DUR     0|  0   0|  0   0|  0   0|  0   0|  1   0|  1   0|  0   0
 T12     7|  6   8| 11  11| 18  15| 22  23| 29  25| 22  22| 20  17
 PZR     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PSN     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PPL     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 PRA     0|  0   0| 10   0|  5   5| 27  10| 30  19| 14  10| 17  12
 S12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 S24      |      0|      0|      0|      0|      0|      0|      0
 SLV   126|130 124|123 119|127 126|135 131|126 114|110 107|108 107
 I12     0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0|  0   0
 SOL     2| 64   4| 71   1| 53   1| 63   1| 52   1| 65   1| 42   1
                                                                          
