station,target,lead,unit,mu_cal,sigma_cal,mu_raw,sigma_raw,max_real,win_mkt,hit_cal,hit_raw,pwin_cal,pwin_raw,crps_cal,crps_raw
EDDM,2026-05-10,1,C,23.33,1.18,21.97,1.59,23.0,23°C,1.0,0.0,0.317,0.201,0.312,0.631
EDDM,2026-05-10,2,C,23.46,1.62,22.07,2.15,23.0,23°C,0.0,0.0,0.233,0.167,0.43,0.662
EDDM,2026-05-10,3,C,23.24,1.9,21.73,2.45,23.0,23°C,0.0,0.0,0.206,0.142,0.457,0.829
EGLC,2026-05-10,1,C,13.76,0.87,13.6,1.13,13.0,13°C,0.0,0.0,0.31,0.299,0.45,0.388
EGLC,2026-05-10,2,C,16.38,1.12,16.23,1.36,13.0,13°C,0.0,0.0,0.005,0.019,2.745,2.472
EGLC,2026-05-10,3,C,15.6,1.46,15.37,1.81,13.0,13°C,0.0,0.0,0.058,0.095,1.822,1.507
KLGA,2026-05-10,1,F,74.17,1.72,73.27,2.58,73.0,72-73°F,0.0,1.0,0.288,0.289,0.708,0.614
KLGA,2026-05-10,2,F,74.8,2.87,74.13,4.33,73.0,72-73°F,0.0,0.0,0.2,0.17,1.107,1.129
KLGA,2026-05-10,3,F,75.26,3.59,74.7,5.29,73.0,72-73°F,0.0,0.0,0.165,0.138,1.389,1.452
KORD,2026-05-10,1,F,65.89,1.59,64.1,1.81,64.0,>= 64°F,1.0,1.0,0.934,0.63,1.176,0.425
KORD,2026-05-10,2,F,63.84,2.72,61.97,3.41,64.0,>= 64°F,1.0,1.0,0.55,0.327,0.639,1.265
KORD,2026-05-10,3,F,62.89,3.32,61.07,3.88,64.0,>= 64°F,1.0,1.0,0.427,0.265,0.923,1.75
LEMD,2026-05-10,1,C,14.71,0.78,14.6,1.0,16.0,16°C,0.0,0.0,0.143,0.155,0.886,0.91
LEMD,2026-05-10,2,C,16.3,1.1,16.1,1.39,16.0,16°C,1.0,1.0,0.34,0.28,0.289,0.328
LEMD,2026-05-10,3,C,17.05,1.11,16.83,1.4,16.0,16°C,0.0,0.0,0.228,0.235,0.631,0.52
LFPB,2026-05-10,1,C,17.77,0.8,17.23,1.12,18.0,18°C,1.0,0.0,0.453,0.277,0.213,0.463
LFPB,2026-05-10,2,C,17.65,0.97,17.27,1.39,18.0,18°C,1.0,0.0,0.371,0.246,0.276,0.476
LFPB,2026-05-10,3,C,19.36,1.47,18.67,2.06,18.0,18°C,0.0,0.0,0.176,0.182,0.814,0.567
LIMC,2026-05-10,1,C,16.74,0.66,16.03,1.1,16.0,16°C,0.0,1.0,0.328,0.35,0.454,0.258
LIMC,2026-05-10,2,C,16.89,0.97,16.13,1.42,16.0,16°C,0.0,1.0,0.267,0.273,0.534,0.338
LIMC,2026-05-10,3,C,16.84,1.15,16.17,1.56,16.0,16°C,0.0,1.0,0.261,0.25,0.506,0.372
RCSS,2026-05-10,2,C,28.12,2.88,27.7,3.07,29.0,29°C,0.0,0.0,0.132,0.118,0.78,0.933
RCSS,2026-05-10,3,C,27.64,3.02,27.13,3.13,29.0,29°C,0.0,0.0,0.119,0.106,0.947,1.163
RJTT,2026-05-10,2,C,22.65,1.16,22.5,1.83,25.0,>= 25°C,0.0,0.0,0.055,0.137,1.716,1.612
RJTT,2026-05-10,3,C,23.2,1.29,23.13,1.74,25.0,>= 25°C,0.0,0.0,0.156,0.216,1.171,1.137
RKSI,2026-05-10,2,C,20.46,2.42,17.47,3.27,22.0,>= 22°C,1.0,0.0,0.334,0.109,0.944,2.935
RKSI,2026-05-10,3,C,20.72,2.69,17.7,3.43,22.0,>= 22°C,1.0,1.0,0.385,0.134,0.869,2.708
