target,station,city,unit,win_mkt,event_slug,event_id,rules_station_mentioned
2026-04-13,CYYZ,toronto,C,21°C,highest-temperature-in-toronto-on-april-13-2026,359529,1
2026-04-13,EFHK,helsinki,C,12°C or higher,highest-temperature-in-helsinki-on-april-13-2026,359585,1
2026-04-13,KATL,atlanta,F,82-83°F,highest-temperature-in-atlanta-on-april-13-2026,359533,1
2026-04-13,KAUS,austin,F,84°F or higher,highest-temperature-in-austin-on-april-13-2026,359575,1
2026-04-13,KDAL,dallas,F,82°F or higher,highest-temperature-in-dallas-on-april-13-2026,359532,1
2026-04-13,KHOU,houston,F,80°F or higher,highest-temperature-in-houston-on-april-13-2026,359577,1
2026-04-13,KLAX,los-angeles,F,66-67°F,highest-temperature-in-los-angeles-on-april-13-2026,359578,1
2026-04-13,KMIA,miami,F,80-81°F,highest-temperature-in-miami-on-april-13-2026,359534,1
2026-04-13,KSFO,san-francisco,F,62-63°F,highest-temperature-in-san-francisco-on-april-13-2026,359579,1
2026-04-13,LTAC,ankara,C,12°C,highest-temperature-in-ankara-on-april-13-2026,359536,1
2026-04-13,MMMX,mexico-city,C,25°C or higher,highest-temperature-in-mexico-city-on-april-13-2026,359582,1
2026-04-13,NZWN,wellington,C,19°C,highest-temperature-in-wellington-on-april-13-2026,359537,1
2026-04-13,SAEZ,buenos-aires,C,25°C,highest-temperature-in-buenos-aires-on-april-13-2026,359527,1
2026-04-13,SBGR,sao-paulo,C,27°C,highest-temperature-in-sao-paulo-on-april-13-2026,359526,1
2026-04-13,WMKK,kuala-lumpur,C,34°C,highest-temperature-in-kuala-lumpur-on-april-13-2026,359587,1
2026-04-13,WSSS,singapore,C,34°C,highest-temperature-in-singapore-on-april-13-2026,359565,1
2026-04-13,ZGSZ,shenzhen,C,31°C,highest-temperature-in-shenzhen-on-april-13-2026,359574,1
2026-04-14,CYYZ,toronto,C,23°C,highest-temperature-in-toronto-on-april-14-2026,369874,1
2026-04-14,EFHK,helsinki,C,14°C,highest-temperature-in-helsinki-on-april-14-2026,369909,1
2026-04-14,KATL,atlanta,F,84-85°F,highest-temperature-in-atlanta-on-april-14-2026,369878,1
2026-04-14,KAUS,austin,F,84°F or higher,highest-temperature-in-austin-on-april-14-2026,369899,1
2026-04-14,KDAL,dallas,F,80-81°F,highest-temperature-in-dallas-on-april-14-2026,369877,1
2026-04-14,KHOU,houston,F,82-83°F,highest-temperature-in-houston-on-april-14-2026,369901,1
2026-04-14,KLAX,los-angeles,F,68-69°F,highest-temperature-in-los-angeles-on-april-14-2026,369902,1
2026-04-14,KMIA,miami,F,80-81°F,highest-temperature-in-miami-on-april-14-2026,369879,1
2026-04-14,KSFO,san-francisco,F,60-61°F,highest-temperature-in-san-francisco-on-april-14-2026,369903,1
2026-04-14,LTAC,ankara,C,17°C,highest-temperature-in-ankara-on-april-14-2026,369881,1
2026-04-14,MMMX,mexico-city,C,22°C or higher,highest-temperature-in-mexico-city-on-april-14-2026,369906,1
2026-04-14,NZWN,wellington,C,19°C,highest-temperature-in-wellington-on-april-14-2026,369882,1
2026-04-14,SAEZ,buenos-aires,C,25°C,highest-temperature-in-buenos-aires-on-april-14-2026,369872,1
2026-04-14,SBGR,sao-paulo,C,25°C,highest-temperature-in-sao-paulo-on-april-14-2026,369871,1
2026-04-14,WMKK,kuala-lumpur,C,31°C,highest-temperature-in-kuala-lumpur-on-april-14-2026,369911,1
2026-04-14,WSSS,singapore,C,33°C or higher,highest-temperature-in-singapore-on-april-14-2026,369889,1
2026-04-14,ZGSZ,shenzhen,C,30°C,highest-temperature-in-shenzhen-on-april-14-2026,369898,1
2026-04-15,CYYZ,toronto,C,19°C,highest-temperature-in-toronto-on-april-15-2026,373585,1
2026-04-15,EFHK,helsinki,C,15°C or higher,highest-temperature-in-helsinki-on-april-15-2026,373620,1
2026-04-15,KATL,atlanta,F,84-85°F,highest-temperature-in-atlanta-on-april-15-2026,373589,1
2026-04-15,KAUS,austin,F,80°F or higher,highest-temperature-in-austin-on-april-15-2026,373610,1
