station,src,rank,model,n,hits,rate,mae
CYYZ,retro,1,ukmo,54,17,0.3148,1.529
CYYZ,retro,2,gefs,88,25,0.2841,1.164
CYYZ,retro,3,knmi,88,25,0.2841,1.300
CYYZ,retro,4,gem,88,25,0.2841,2.100
CYYZ,retro,5,meteofrance,88,23,0.2614,1.193
CYYZ,retro,6,icon,88,22,0.2500,0.786
CYYZ,retro,7,ecmwf,88,22,0.2500,1.143
CYYZ,retro,8,jma,88,8,0.0909,5.307
EDDM,retro,1,meteofrance,63,22,0.3492,1.087
EDDM,retro,2,icon,63,17,0.2698,0.941
EDDM,retro,3,knmi,63,17,0.2698,1.503
EDDM,retro,4,gem,58,14,0.2414,1.545
EDDM,retro,5,ukmo,49,5,0.1020,1.276
EDDM,retro,6,jma,63,5,0.0794,3.237
EDDM,retro,7,ecmwf,63,4,0.0635,1.859
EDDM,retro,8,gefs,63,2,0.0317,2.468
EFHK,retro,1,icon,89,27,0.3034,1.014
EFHK,retro,2,knmi,89,22,0.2472,1.100
EFHK,retro,3,gefs,89,21,0.2360,1.500
EFHK,retro,4,ukmo,55,12,0.2182,1.093
EFHK,retro,5,gem,85,17,0.2000,1.036
EFHK,retro,6,ecmwf,89,12,0.1348,1.114
EFHK,retro,7,jma,89,12,0.1348,1.286
EFHK,retro,8,meteofrance,89,9,0.1011,1.550
EGLC,retro,1,gefs,63,21,0.3333,1.197
EGLC,retro,2,icon,63,20,0.3175,0.932
EGLC,retro,3,ukmo,51,15,0.2941,1.000
EGLC,retro,4,meteofrance,63,18,0.2857,1.203
EGLC,retro,5,gem,59,14,0.2373,1.085
EGLC,retro,6,knmi,63,14,0.2222,1.613
EGLC,retro,7,ecmwf,63,13,0.2063,1.048
EGLC,retro,8,jma,63,7,0.1111,2.249
KATL,retro,1,gefs,87,30,0.3448,1.450
KATL,retro,2,ukmo,54,15,0.2778,1.500
KATL,retro,3,knmi,87,23,0.2644,2.400
KATL,retro,4,ecmwf,87,20,0.2299,1.800
KATL,retro,5,meteofrance,87,20,0.2299,2.700
KATL,retro,6,icon,87,17,0.1954,1.650
KATL,retro,7,jma,87,13,0.1494,5.800
KATL,retro,8,gem,83,8,0.0964,3.750
KAUS,retro,1,icon,88,49,0.5568,2.529
KAUS,retro,2,gefs,88,47,0.5341,1.514
KAUS,retro,3,knmi,88,44,0.5000,2.429
KAUS,retro,4,meteofrance,88,43,0.4886,2.814
KAUS,retro,5,ecmwf,88,43,0.4886,2.829
KAUS,retro,6,gem,84,38,0.4524,2.757
KAUS,retro,7,ukmo,54,22,0.4074,1.243
KAUS,retro,8,jma,88,20,0.2273,4.243
KDAL,retro,1,icon,88,45,0.5114,3.100
KDAL,retro,2,gefs,88,40,0.4545,2.817
KDAL,retro,3,ecmwf,88,38,0.4318,3.800
KDAL,retro,4,knmi,88,38,0.4318,4.083
KDAL,retro,5,gem,84,36,0.4286,3.650
KDAL,retro,6,meteofrance,88,33,0.3750,4.400
KDAL,retro,7,jma,88,29,0.3295,5.617
KDAL,retro,8,ukmo,54,17,0.3148,2.300
KHOU,retro,1,icon,88,40,0.4545,3.700
KHOU,retro,2,gefs,88,37,0.4205,4.150
KHOU,retro,3,gem,84,31,0.3690,4.900
KHOU,retro,4,ecmwf,88,29,0.3295,1.750
KHOU,retro,5,knmi,88,29,0.3295,2.400
KHOU,retro,6,ukmo,54,17,0.3148,0.750
KHOU,retro,7,meteofrance,88,21,0.2386,1.800
KHOU,retro,8,jma,88,16,0.1818,3.350
KLAX,retro,1,ukmo,54,23,0.4259,0.900
KLAX,retro,2,knmi,88,23,0.2614,1.960
KLAX,retro,3,jma,88,22,0.2500,2.180
KLAX,retro,4,gefs,88,21,0.2386,2.280
KLAX,retro,5,gem,84,16,0.1905,5.660
KLAX,retro,6,meteofrance,88,16,0.1818,1.520
KLAX,retro,7,icon,88,14,0.1591,4.100
KLAX,retro,8,ecmwf,88,5,0.0568,10.560
KLGA,retro,1,ukmo,48,17,0.3542,2.013
KLGA,retro,2,icon,62,19,0.3065,2.076
KLGA,retro,3,meteofrance,62,16,0.2581,2.489
KLGA,retro,4,gefs,62,16,0.2581,2.597
KLGA,retro,5,jma,62,13,0.2097,2.256
KLGA,retro,6,knmi,62,13,0.2097,2.585
KLGA,retro,7,gem,62,11,0.1774,2.384
KLGA,retro,8,ecmwf,62,10,0.1613,2.605
KMIA,retro,1,gem,84,34,0.4048,1.740
KMIA,retro,2,ukmo,54,21,0.3889,0.940
KMIA,retro,3,meteofrance,88,30,0.3409,1.920
KMIA,retro,4,gefs,88,23,0.2614,0.680
KMIA,retro,5,jma,88,22,0.2500,2.100
KMIA,retro,6,knmi,88,20,0.2273,1.340
