capture_utc,station,target,model,unit,tmax
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,ecmwf,C,27.5
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,gefs,C,27.1
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,gem,C,28.5
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,icon,C,26.9
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,jma,C,21.1
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,knmi,C,27.2
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,meteofrance,C,27.5
2026-07-13T02:48:23+00:00,CYYZ,2026-07-12,ukmo,C,28.3
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,ecmwf,C,32.2
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,gefs,C,33.0
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,gem,C,33.4
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,icon,C,31.5
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,jma,C,26.8
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,knmi,C,33.3
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,meteofrance,C,31.8
2026-07-13T02:48:23+00:00,CYYZ,2026-07-13,ukmo,C,33.2
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,ecmwf,C,36.4
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,gefs,C,37.1
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,gem,C,35.1
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,icon,C,36.6
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,jma,C,29.4
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,knmi,C,37.0
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,meteofrance,C,36.5
2026-07-13T02:48:23+00:00,CYYZ,2026-07-14,ukmo,C,37.7
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,ecmwf,C,26.1
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,gefs,C,25.5
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,gem,C,27.1
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,icon,C,28.0
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,jma,C,25.5
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,knmi,C,29.7
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,meteofrance,C,28.3
2026-07-13T02:48:23+00:00,EDDM,2026-07-12,ukmo,C,27.5
2026-07-13T02:48:23+00:00,EDDM,2026-07-13,ecmwf,C,29.4
2026-07-13T02:48:23+00:00,EDDM,2026-07-13,gefs,C,27.4
2026-07-13T02:48:23+00:00,EDDM,2026-07-13,gem,C,29.4
