station,date,tmax,tmax_int
KLGA,2021-01-01,41.0,41
KLGA,2021-01-02,52.0,52
KLGA,2021-01-03,39.2,39
KLGA,2021-01-04,44.0,44
KLGA,2021-01-05,42.0,42
KLGA,2021-01-06,42.0,42
KLGA,2021-01-07,43.0,43
KLGA,2021-01-08,39.0,39
KLGA,2021-01-09,37.0,37
KLGA,2021-01-10,43.0,43
KLGA,2021-01-11,38.0,38
KLGA,2021-01-12,45.0,45
KLGA,2021-01-13,44.0,44
KLGA,2021-01-14,50.0,50
KLGA,2021-01-15,47.0,47
KLGA,2021-01-16,48.0,48
KLGA,2021-01-17,46.0,46
KLGA,2021-01-18,46.0,46
KLGA,2021-01-19,43.0,43
KLGA,2021-01-20,41.0,41
KLGA,2021-01-21,45.0,45
KLGA,2021-01-22,46.0,46
KLGA,2021-01-23,37.0,37
KLGA,2021-01-24,34.0,34
KLGA,2021-01-25,39.0,39
KLGA,2021-01-26,36.0,36
KLGA,2021-01-27,38.0,38
KLGA,2021-01-28,35.0,35
KLGA,2021-01-29,27.0,27
KLGA,2021-01-30,34.0,34
KLGA,2021-01-31,40.0,40
KLGA,2021-02-01,34.0,34
KLGA,2021-02-02,35.0,35
KLGA,2021-02-03,38.0,38
KLGA,2021-02-04,43.0,43
KLGA,2021-02-05,48.0,48
KLGA,2021-02-06,45.0,45
KLGA,2021-02-07,38.0,38
KLGA,2021-02-08,30.9,31
KLGA,2021-02-09,33.0,33
KLGA,2021-02-10,36.0,36
KLGA,2021-02-11,33.0,33
KLGA,2021-02-12,30.0,30
KLGA,2021-02-13,30.9,31
KLGA,2021-02-14,38.0,38
KLGA,2021-02-15,35.0,35
KLGA,2021-02-16,53.0,53
KLGA,2021-02-17,33.0,33
KLGA,2021-02-18,28.9,29
KLGA,2021-02-19,34.0,34
KLGA,2021-02-20,36.0,36
KLGA,2021-02-21,38.0,38
KLGA,2021-02-22,40.0,40
KLGA,2021-02-23,46.0,46
KLGA,2021-02-24,53.0,53
KLGA,2021-02-25,52.0,52
KLGA,2021-02-26,46.0,46
KLGA,2021-02-27,52.0,52
KLGA,2021-02-28,45.0,45
KLGA,2021-03-01,48.2,48
KLGA,2021-03-02,34.0,34
KLGA,2021-03-03,52.0,52
KLGA,2021-03-04,44.0,44
KLGA,2021-03-05,38.0,38
KLGA,2021-03-06,35.0,35
KLGA,2021-03-07,41.0,41
KLGA,2021-03-08,44.0,44
KLGA,2021-03-09,61.0,61
KLGA,2021-03-10,54.0,54
KLGA,2021-03-11,67.0,67
KLGA,2021-03-12,67.0,67
KLGA,2021-03-13,50.0,50
KLGA,2021-03-14,51.0,51
KLGA,2021-03-15,39.0,39
KLGA,2021-03-16,36.0,36
KLGA,2021-03-17,47.0,47
KLGA,2021-03-18,46.0,46
KLGA,2021-03-19,43.0,43
KLGA,2021-03-20,59.0,59
KLGA,2021-03-21,61.0,61
KLGA,2021-03-22,56.0,56
KLGA,2021-03-23,58.0,58
KLGA,2021-03-24,49.0,49
KLGA,2021-03-25,67.0,67
KLGA,2021-03-26,82.0,82
