station,pws_id,date,tmax_pws,unit
LIMC,ILOMBARD227,2026-06-28,37.4,C
LIMC,ILOMBARD227,2026-06-24,36.1,C
LIMC,ILOMBARD227,2026-06-20,35.8,C
LIMC,ILOMBARD227,2026-06-16,32.1,C
LIMC,ILOMBARD227,2026-06-12,28.6,C
LIMC,ILOMBARD227,2026-06-08,31.7,C
LIMC,ILOMBARD227,2026-06-04,24.4,C
LIMC,ILOMBARD227,2026-05-31,22.7,C
LIMC,ILOMBARD227,2026-05-27,34.6,C
LIMC,ILOMBARD227,2026-05-23,31.4,C
LIMC,ILOMBARD227,2026-05-19,23.2,C
LIMC,ISAMAR42,2026-06-28,39.1,C
LIMC,ISAMAR42,2026-06-24,38.5,C
LIMC,ISAMAR42,2026-06-20,37.2,C
LIMC,ISAMAR42,2026-06-16,33.1,C
LIMC,ISAMAR42,2026-06-12,29.7,C
LIMC,ISAMAR42,2026-06-08,32.0,C
LIMC,ISAMAR42,2026-06-04,25.6,C
LIMC,ISAMAR42,2026-05-31,33.8,C
LIMC,ISAMAR42,2026-05-27,35.6,C
LIMC,ISAMAR42,2026-05-23,31.7,C
LIMC,ISAMAR42,2026-05-19,25.0,C
LIMC,ICARDA5,2026-06-28,40.6,C
LIMC,ICARDA5,2026-06-24,39.6,C
LIMC,ICARDA5,2026-06-20,38.4,C
LIMC,ICARDA5,2026-06-16,34.8,C
LIMC,ICARDA5,2026-06-12,32.3,C
LIMC,ICARDA5,2026-06-08,33.3,C
LIMC,ICARDA5,2026-06-04,19.2,C
LIMC,ICARDA5,2026-05-31,34.9,C
LIMC,ICARDA5,2026-05-27,38.2,C
LIMC,ICARDA5,2026-05-23,35.4,C
LIMC,ICARDA5,2026-05-19,25.6,C
LIMC,ISAMAR22,2026-06-28,39.4,C
LIMC,ISAMAR22,2026-06-24,38.8,C
LIMC,ISAMAR22,2026-06-20,35.7,C
LIMC,ISAMAR22,2026-06-16,32.6,C
LIMC,ISAMAR22,2026-06-12,28.9,C
LIMC,ISAMAR22,2026-06-08,30.7,C
LIMC,ISAMAR22,2026-06-04,25.7,C
LIMC,ISAMAR22,2026-05-31,32.2,C
LIMC,ISAMAR22,2026-05-27,34.6,C
LIMC,ISAMAR22,2026-05-23,31.2,C
LIMC,ISAMAR22,2026-05-19,23.5,C
LIMC,ILONAT5,2026-06-28,37.9,C
LIMC,ILONAT5,2026-06-24,36.7,C
LIMC,ILONAT5,2026-06-20,35.0,C
LIMC,ILONAT5,2026-06-16,30.7,C
LIMC,ILONAT5,2026-06-12,27.4,C
LIMC,ILONAT5,2026-06-08,30.4,C
LIMC,ILONAT5,2026-06-04,25.4,C
LIMC,ILONAT5,2026-05-31,32.8,C
LIMC,ILONAT5,2026-05-27,33.8,C
