station,rank,pws_id,dist_km,lat,lon,n,cover,bias,std,mae,updated
CYYZ,1,IETOBI26,4.28,43.706,-79.596,15,0.5,1.9,0.93,1.94,2026-07-16
CYYZ,2,IMISSI156,8.59,43.604,-79.666,25,0.83,1.5,1.03,1.53,2026-07-16
CYYZ,3,ITORON175,7.69,43.637,-79.553,30,1.0,1.3,1.04,1.24,2026-07-16
CYYZ,4,IONTARIO1108,6.81,43.71417,-79.69833,30,1.0,1.3,1.14,1.42,2026-07-16
CYYZ,5,ITORON111,7.61,43.631,-79.561,30,1.0,2.1,1.47,1.87,2026-07-16
EDDM,1,IMARZL1,5.9,48.40683,11.79346,27,1.0,1.1,0.83,1.27,2026-07-16
EDDM,2,IHALLB20,4.14,48.323,11.755,27,1.0,1.5,0.83,1.33,2026-07-16
EDDM,3,IOBFREIS10,4.99,48.39653,11.76458,27,1.0,1.0,0.85,1.02,2026-07-16
EDDM,4,IFREIS64,4.39,48.392,11.77,17,0.63,1.4,0.89,1.63,2026-07-16
EDDM,5,IOBERD70,4.56,48.313,11.789,25,0.93,0.5,0.92,0.88,2026-07-16
EFHK,1,IVANTA16,4.77,60.282,24.91284,29,0.97,0.7,0.67,0.78,2026-07-16
EFHK,2,IVANTA19,6.68,60.27532,24.8756,30,1.0,0.8,0.87,1.01,2026-07-16
EFHK,3,IHELSI124,7.77,60.24715,24.96892,30,1.0,0.55,0.9,0.84,2026-07-16
EFHK,4,IVANTA18,6.45,60.334,25.075,30,1.0,1.1,0.95,1.19,2026-07-16
EFHK,5,ISUOMI58,7.32,60.3589,25.0656,25,0.83,1.4,1.02,1.41,2026-07-16
EGLC,1,ILONDO658,3.8,51.53467,0.02766,27,1.0,0.1,0.42,0.36,2026-07-16
EGLC,2,ILONDON828,2,51.52287,0.05842,26,0.96,0.75,0.67,0.93,2026-07-16
EGLC,3,ILONDO672,2.24,51.4853,0.04829,27,1.0,0.8,0.86,1.0,2026-07-16
EGLC,4,ILONDO288,1.6,51.514,0.037,27,1.0,1.1,0.87,1.26,2026-07-16
EGLC,5,IBARKI7,3.9,51.515,0.109,27,1.0,0.3,1.01,0.74,2026-07-16
HKO,1,IKOWLO9,3.2,22.32958,114.18286,31,1.0,-0.5,0.46,0.55,2026-07-16
HKO,2,ISHAMS15,2.89,22.327,114.1664,31,1.0,0.1,0.62,0.51,2026-07-16
HKO,3,IYAUTS4,2.72,22.32603,114.16908,31,1.0,0.4,0.71,0.64,2026-07-16
HKO,4,IHONGK71,2.57,22.2819,114.1863,30,0.97,0.2,0.72,0.59,2026-07-16
HKO,5,IKOWLO11,2.88,22.32788,114.17585,23,0.74,0.9,0.75,0.95,2026-07-16
KATL,1,KGAHAPEV1,3.79,33.661,-84.399,30,1.0,-0.95,0.95,1.09,2026-07-16
KATL,2,KGAFORES13,7.04,33.638,-84.352,26,0.87,-0.65,1.2,1.11,2026-07-16
KATL,3,KGASOUTH8,8.95,33.6304,-84.5244,30,1.0,1.55,1.33,1.81,2026-07-16
KATL,4,KGAATLAN557,3.04,33.664,-84.43298,30,1.0,1.7,1.53,1.91,2026-07-16
KATL,5,KGARIVER19,6.78,33.576,-84.429,27,0.9,4.3,1.58,3.81,2026-07-16
KAUS,1,KTXAUSTI1864,5,30.229,-97.704,30,1.0,0.55,0.87,0.84,2026-07-16
KAUS,2,KTXAUSTI768,6.06,30.19917,-97.73282,30,1.0,1.55,1.05,1.61,2026-07-16
KAUS,3,KTXAUSTI2929,5.98,30.163,-97.72,30,1.0,0.8,1.07,1.12,2026-07-16
KAUS,4,KTXAUSTI2090,5.76,30.226,-97.718,30,1.0,1.25,1.08,1.44,2026-07-16
KAUS,5,KTXDELVA43,5.87,30.166,-97.619,30,1.0,2.0,1.24,2.09,2026-07-16
KDAL,1,KTXDALLA843,3.04,32.861,-96.824,30,1.0,0.1,0.84,0.63,2026-07-16
KDAL,2,KTXDALLA1343,1.9,32.863,-96.845,29,0.97,0.3,0.99,0.82,2026-07-16
KDAL,3,KTXDALLA703,2.49,32.82493,-96.84749,30,1.0,0.95,1.05,1.14,2026-07-16
KDAL,4,KTXDALLA1436,3.51,32.868,-96.824,30,1.0,2.3,1.36,2.26,2026-07-16
KDAL,5,KTXDALLA1276,3.15,32.829,-96.878,30,1.0,2.45,1.46,2.76,2026-07-16
KHOU,1,KTXHOUST5216,5.41,29.63269,-95.33319,23,0.77,1.3,1.44,1.75,2026-07-16
KHOU,2,KTXHOUST4108,4.52,29.672,-95.314,30,1.0,1.95,1.64,2.45,2026-07-16
KHOU,3,KTXHOUST4608,4.48,29.64018,-95.23293,30,1.0,1.8,1.74,2.28,2026-07-16
KHOU,4,KTXHOUST5249,5.13,29.642,-95.226,17,0.57,3.7,1.83,4.07,2026-07-16
KHOU,5,KTXSOUTH79,3.71,29.65833,-95.24384,30,1.0,2.35,1.84,2.75,2026-07-16
KLAX,1,KCAELSEG28,1.76,33.92755,-118.40396,30,1.0,3.5,1.14,3.46,2026-07-16
KLAX,2,KCAELSEG35,1.77,33.93,-118.419,30,1.0,2.45,1.32,2.32,2026-07-16
KLAX,3,KCALOSAN1182,2.07,33.9554,-118.42477,30,1.0,0.65,1.39,1.17,2026-07-16
KLAX,4,KCALOSAN1317,2.45,33.965,-118.407,27,0.9,10.3,1.91,9.81,2026-07-16
KLAX,5,KCAELSEG23,2.13,33.925,-118.416,30,1.0,3.45,1.98,3.16,2026-07-16
KLGA,1,KNYNEWYO1552,2.7,40.78,-73.912,27,1.0,2.4,1.51,2.37,2026-07-16
KLGA,2,KNYTHEBR7,3.81,40.808,-73.856,27,1.0,2.2,1.84,2.28,2026-07-16
KLGA,3,KNYNEWYO1906,4.49,40.788,-73.828,27,1.0,1.2,1.93,1.69,2026-07-16
KLGA,4,KNYNEWYO1800,4.7,40.748,-73.918,27,1.0,1.8,2.23,2.2,2026-07-16
KLGA,5,KNYNEWYO1771,3.21,40.781,-73.918,27,1.0,0.2,2.39,1.84,2026-07-16
KMIA,1,KFLCORAL168,4.33,25.76,-80.268,30,1.0,1.35,0.86,1.27,2026-07-16
KMIA,2,KFLMIAMI454,3.2,25.76588,-80.28022,30,1.0,0.65,0.87,0.97,2026-07-16
KMIA,3,KFLMIAMI1095,2.63,25.811,-80.274,30,1.0,1.65,1.28,2.05,2026-07-16
KMIA,4,KFLMIAMI706,3.66,25.763,-80.276,30,1.0,1.9,1.51,2.07,2026-07-16
KMIA,5,KFLMIAMI1030,4.25,25.766,-80.321,30,1.0,5.05,1.57,4.99,2026-07-16
KORD,1,KILFRANK74,5.28,41.935,-87.881,27,1.0,1.7,1.03,1.82,2026-07-16
KORD,2,KILBENSE15,3.76,41.96447,-87.9461,27,1.0,1.6,1.12,1.57,2026-07-16
KORD,3,KILBENSE14,4.46,41.9636,-87.95478,27,1.0,0.9,1.22,1.25,2026-07-16
KORD,4,KILROSEM2,3.64,41.99299,-87.86517,27,1.0,0.4,1.25,1.06,2026-07-16
KORD,5,KILMELRO2,5.03,41.93401,-87.89875,23,0.85,1.9,1.54,2.11,2026-07-16
KSFO,1,KCASANBR107,2.91,37.619,-122.408,30,1.0,5.9,2.2,6.32,2026-07-16
KSFO,2,KCASANBR92,2.65,37.617,-122.405,30,1.0,2.0,2.43,2.7,2026-07-16
